card_strength,pot_size,player_coin,opponent_coin,action
0.47,99,96,88,pack
0.14,90,36,34,chaal
0.82,54,76,70,show
0.83,88,30,59,chaal
0.68,30,34,11,pack
0.53,36,43,51,show
0.9,69,83,13,chaal
0.96,54,69,89,chaal
0.6,41,28,48,pack
0.75,30,71,96,chaal
0.18,33,38,88,pack
0.1,26,28,26,pack
0.62,47,94,38,chaal
0.51,72,85,31,chaal
0.36,82,85,57,chaal
0.89,61,60,14,show
0.84,91,77,11,chaal
0.74,69,97,65,pack
0.49,33,11,36,chaal
0.28,93,59,18,pack
0.38,73,34,71,show
0.87,67,14,21,show
0.77,54,14,18,show
0.64,35,60,36,pack
0.2,42,24,81,pack
0.06,77,100,88,pack
0.43,64,99,48,pack
0.5,81,90,83,chaal
0.66,51,43,68,pack
0.78,30,43,83,show
0.48,46,15,86,pack
0.6,69,31,42,pack
0.25,34,92,36,pack
0.65,55,75,20,show
0.59,94,15,98,chaal
0.26,71,73,61,pack
0.92,38,95,70,chaal
0.8,28,28,100,chaal
0.67,45,22,76,pack
0.99,57,50,54,chaal
0.11,64,93,23,pack
0.33,26,95,57,chaal
0.19,88,48,87,pack
0.94,89,19,11,chaal
0.16,26,68,25,pack
0.69,81,36,62,chaal
0.85,84,65,29,show
0.85,55,28,73,show
0.24,39,71,94,pack
0.5,90,66,66,chaal
0.15,26,52,77,pack
0.63,49,34,72,chaal
0.89,92,20,62,show
0.45,42,82,60,pack
0.01,95,83,51,pack
0.86,95,74,62,chaal
0.95,21,67,59,chaal
0.79,31,51,65,chaal
0.55,70,30,61,chaal
0.78,36,98,63,chaal
0.7,65,32,100,pack
0.98,82,33,86,chaal
0.13,75,69,53,pack
0.12,96,99,15,pack
0.46,68,21,75,chaal
0.4,97,93,74,chaal
0.51,58,32,96,chaal
0.47,36,22,67,show
0.75,51,34,12,chaal
0.16,44,83,34,chaal
0.07,48,61,84,pack
0.91,90,13,34,chaal
0.48,51,78,76,pack
0.59,54,20,83,chaal
0.07,93,82,76,pack
0.27,75,31,88,chaal
0.15,41,63,45,pack
0.8,25,89,19,show
0.19,74,47,76,pack
0.08,70,79,65,pack
0.01,54,38,77,chaal
0.74,69,79,78,pack
0.07,25,84,35,pack
0.58,67,16,32,chaal
0.99,49,11,39,show
0.68,72,87,73,show
0.2,35,96,93,chaal
0.66,88,72,87,pack
0.59,78,12,100,chaal
0.14,92,99,38,pack
0.55,46,73,15,show
0.37,99,17,67,chaal
0.4,64,21,65,show
0.5,52,91,45,pack
0.75,99,88,31,chaal
0.86,78,45,83,show
0.1,61,96,16,chaal
0.32,87,72,90,chaal
0.43,78,31,42,pack
0.02,60,61,35,chaal
0.12,80,19,65,chaal
0.65,72,10,19,chaal
0.95,98,83,61,chaal
0.6,38,71,60,chaal
0.46,82,69,21,chaal
0.21,69,10,91,pack
0.38,68,84,66,chaal
0.37,78,96,100,chaal
0.79,25,23,82,chaal
0.77,78,42,11,chaal
0.15,80,12,23,pack
0.42,20,86,77,chaal
0.12,67,70,75,pack
0.3,43,88,85,pack
0.32,27,79,52,chaal
0.76,26,99,12,chaal
0.52,47,66,53,chaal
0.13,32,10,56,pack
0.05,29,32,43,pack
0.12,96,40,63,chaal
0.76,28,88,31,show
0.18,62,23,40,pack
0.98,71,71,100,show
0.95,74,86,45,chaal
0.53,70,97,57,pack
0.0,69,79,47,pack
0.14,97,45,69,chaal
0.39,28,21,45,chaal
0.13,77,23,91,pack
0.01,50,54,73,pack
0.83,86,85,96,show
0.22,61,16,93,chaal
0.33,40,31,18,pack
0.73,59,24,83,chaal
0.7,97,96,75,pack
0.81,25,10,32,chaal
0.79,26,98,94,show
0.21,84,55,68,pack
0.01,21,62,15,chaal
0.23,80,30,87,chaal
0.92,42,12,76,chaal
0.14,46,67,77,pack
0.32,87,89,86,pack
0.99,52,64,97,chaal
0.3,83,56,42,chaal
0.11,94,27,70,chaal
0.52,75,54,25,chaal
0.88,35,99,20,chaal
0.75,97,94,92,chaal
0.72,83,59,17,chaal
0.61,78,76,86,chaal
0.86,87,95,35,show
0.79,49,77,77,chaal
0.15,28,73,14,chaal
0.44,46,83,62,chaal
0.94,75,31,24,chaal
0.82,85,40,96,show
0.72,72,31,15,show
0.02,38,14,17,pack
0.84,26,89,81,chaal
0.32,40,40,72,pack
0.72,70,37,16,pack
0.6,57,22,22,pack
0.88,70,100,99,chaal
0.51,100,57,12,chaal
0.87,78,10,58,show
0.74,90,22,54,show
0.04,26,37,76,chaal
0.22,43,57,77,pack
0.81,51,29,62,show
0.63,86,87,98,show
0.11,70,47,15,chaal
0.72,81,52,78,pack
0.47,33,100,79,chaal
0.95,82,61,16,chaal
0.33,28,15,11,chaal
0.48,71,79,78,pack
0.61,90,33,42,chaal
0.48,32,13,73,pack
0.89,72,84,20,chaal
0.62,79,77,49,pack
0.5,97,21,27,chaal
0.19,25,66,71,pack
0.54,90,86,48,pack
0.74,89,75,90,show
0.75,79,44,71,pack
0.84,72,49,85,chaal
0.83,26,13,34,show
0.7,95,69,28,chaal
0.74,87,70,25,show
0.98,88,79,90,show
0.91,54,47,29,chaal
0.72,53,10,83,show
0.85,64,93,78,chaal
0.24,34,71,97,chaal
0.97,21,10,61,chaal
0.36,59,57,50,pack
0.62,31,20,92,pack
0.93,42,100,34,chaal
0.44,48,24,80,show
0.86,51,63,33,chaal
0.37,47,18,65,pack
0.99,59,66,94,show
0.02,42,73,41,pack
0.15,34,75,27,chaal
0.83,79,88,86,chaal
0.05,75,89,95,chaal
0.55,55,65,79,chaal
0.43,75,63,54,chaal
0.3,75,92,18,pack
0.32,80,55,40,chaal
0.38,43,27,100,chaal
0.58,73,65,70,chaal
0.94,76,57,71,show
0.11,23,80,53,chaal
0.28,92,42,63,pack
0.27,63,86,80,pack
0.08,59,71,13,pack
0.92,81,36,14,chaal
0.8,90,47,88,show
0.88,72,37,88,chaal
0.6,77,16,91,show
0.96,77,75,48,chaal
0.03,48,52,29,pack
0.39,27,10,99,pack
0.0,86,30,11,pack
0.78,49,69,80,show
0.75,68,72,30,pack
0.2,44,91,64,pack
0.03,62,46,57,pack
0.35,51,62,61,chaal
0.78,54,44,34,chaal
0.7,66,100,24,chaal
0.35,87,17,75,pack
0.12,29,89,30,pack
0.9,97,57,98,show
0.75,96,19,85,pack
0.76,29,71,39,chaal
0.75,61,14,43,chaal
0.73,68,41,99,pack
0.01,39,91,17,pack
0.59,43,86,64,pack
0.64,86,72,45,pack
0.65,32,37,96,show
0.99,35,67,50,chaal
0.89,78,25,58,chaal
0.2,48,93,12,chaal
0.63,23,90,20,chaal
0.32,23,25,96,chaal
0.58,93,27,44,chaal
0.31,73,65,99,chaal
0.73,32,65,54,chaal
0.06,79,19,24,pack
0.58,36,54,13,chaal
0.6,73,83,85,chaal
0.95,54,63,97,chaal
0.82,66,27,27,chaal
0.81,25,59,70,chaal
0.62,97,21,67,chaal
0.86,34,36,67,show
0.09,84,73,62,pack
0.53,89,72,97,chaal
0.61,73,87,95,chaal
0.54,34,29,50,show
0.06,47,93,95,pack
0.88,64,68,26,chaal
0.58,36,60,69,chaal
0.49,64,80,42,chaal
0.55,99,39,37,chaal
0.08,76,63,18,pack
0.42,94,84,69,show
0.1,45,86,74,pack
0.23,27,39,27,pack
0.17,29,27,23,pack
0.39,62,90,20,show
0.5,31,19,58,show
0.58,41,33,24,show
0.5,64,15,46,show
0.51,82,27,96,show
0.48,96,51,32,show
0.79,70,94,10,show
0.78,45,81,50,chaal
0.49,75,67,42,show
0.48,73,85,32,show
0.81,47,23,60,chaal
0.93,24,100,44,chaal
0.28,48,54,49,pack
0.14,56,45,43,chaal
0.29,71,18,38,pack
0.58,79,11,14,pack
0.35,27,100,60,chaal
0.52,44,90,32,chaal
0.24,20,40,50,chaal
0.35,26,90,74,chaal
0.12,63,84,22,pack
0.42,88,66,92,chaal
0.44,26,69,26,chaal
0.86,46,47,96,show
0.37,90,63,94,chaal
0.1,57,29,29,chaal
0.71,57,17,28,chaal
0.97,96,81,38,chaal
0.22,74,63,75,pack
0.59,53,46,42,chaal
0.86,95,69,71,chaal
0.42,100,41,39,chaal
0.51,53,50,80,pack
0.67,39,15,79,pack
0.43,64,36,87,chaal
0.11,51,92,95,pack
0.18,61,65,18,pack
0.68,68,62,38,chaal
0.58,23,93,64,chaal
0.12,88,12,65,pack
0.01,82,26,19,pack
0.84,55,42,96,show
0.94,37,66,74,show
0.45,34,21,33,pack
0.2,81,52,14,pack
0.52,75,16,37,pack
0.99,28,37,32,chaal
0.19,87,41,49,chaal
0.02,90,48,70,pack
0.24,83,63,22,pack
1.0,98,81,57,show
0.85,86,66,20,chaal
0.18,92,30,86,pack
0.98,67,27,21,chaal
0.78,75,57,64,chaal
0.13,82,78,72,pack
0.1,38,59,50,pack
0.83,27,23,22,show
0.83,63,90,71,show
0.35,75,84,54,pack
0.65,37,38,98,chaal
0.6,90,44,45,chaal
0.02,72,40,17,chaal
0.62,90,26,98,chaal
0.23,68,36,78,pack
0.07,44,30,15,pack
0.52,25,36,31,show
0.05,54,55,58,pack
0.15,83,63,41,pack
0.07,84,97,84,pack
0.43,53,25,97,chaal
0.07,51,44,21,pack
0.8,72,61,11,show
0.26,58,26,31,chaal
0.49,64,66,26,show
0.36,32,97,89,chaal
0.9,76,18,83,chaal
0.74,67,17,80,chaal
0.91,40,48,73,chaal
0.86,23,72,73,chaal
0.81,49,50,25,show
0.23,47,38,19,pack
0.19,85,10,54,pack
0.91,65,53,15,chaal
0.29,100,75,73,chaal
0.74,50,89,82,chaal
0.0,36,73,54,pack
0.44,93,71,40,chaal
0.25,26,99,91,pack
0.36,88,35,57,chaal
0.12,28,97,91,pack
0.36,69,66,45,chaal
0.46,82,32,53,pack
0.81,75,87,46,show
0.71,52,23,13,chaal
0.99,67,79,43,chaal
0.28,69,53,20,pack
0.15,79,61,74,pack
0.91,30,62,57,chaal
0.85,33,78,43,chaal
0.2,25,15,84,pack
1.0,96,65,38,chaal
0.6,50,31,88,pack
0.61,71,62,12,pack
0.54,23,85,70,chaal
0.63,38,72,21,chaal
0.14,23,24,62,pack
0.16,64,77,98,pack
0.96,87,66,71,show
0.55,54,43,36,show
0.87,68,49,74,show
0.08,37,90,50,pack
0.64,99,68,30,pack
0.14,39,75,34,pack
0.02,93,37,40,pack
0.9,53,63,57,chaal
0.27,20,33,91,pack
0.57,48,21,41,chaal
0.98,42,83,31,show
0.81,49,75,35,chaal
0.17,55,34,13,pack
0.16,85,26,94,pack
0.59,41,47,41,pack
0.41,69,76,56,chaal
0.97,80,33,86,chaal
0.54,67,12,29,chaal
0.96,21,19,19,chaal
0.86,95,21,13,show
0.5,36,21,93,chaal
0.84,54,76,52,chaal
0.06,51,15,54,pack
0.73,22,43,87,chaal
0.45,75,53,88,pack
0.71,62,77,76,pack
0.51,46,78,96,chaal
0.82,86,46,64,show
0.89,87,36,53,chaal
0.61,39,58,71,chaal
0.11,91,15,87,pack
0.87,96,68,28,show
0.98,54,89,18,show
0.38,63,11,68,chaal
0.79,20,15,59,show
0.84,62,35,75,show
0.59,31,40,21,show
0.68,65,80,76,chaal
0.41,92,35,69,pack
0.98,59,37,42,show
0.91,22,13,70,chaal
0.82,45,95,75,chaal
0.06,29,18,41,pack
0.28,31,74,78,pack
0.56,61,66,82,show
0.32,45,50,62,chaal
0.82,22,45,41,chaal
0.45,37,99,99,pack
0.82,63,98,99,chaal
0.15,45,89,24,chaal
0.26,31,55,24,pack
0.5,40,82,29,show
0.57,34,99,23,show
0.58,87,35,28,chaal
0.05,62,37,26,pack
0.59,36,14,62,chaal
0.75,20,33,66,pack
0.17,26,29,59,chaal
0.68,53,50,42,chaal
0.7,20,76,22,chaal
0.39,91,96,95,chaal
1.0,83,20,33,chaal
0.06,67,22,82,pack
0.49,22,92,58,chaal
0.2,80,36,73,pack
0.44,46,16,87,show
0.47,34,96,35,show
0.1,32,94,85,chaal
0.3,91,98,42,pack
0.99,99,93,100,chaal
0.34,62,69,94,chaal
0.63,28,28,96,chaal
0.74,39,48,86,chaal
0.45,93,27,17,pack
0.38,56,25,45,chaal
0.72,71,73,91,show
0.26,100,28,17,chaal
0.55,50,99,50,chaal
0.02,68,50,75,pack
0.17,60,57,76,pack
0.14,43,53,17,pack
0.34,70,19,31,pack
0.96,37,15,45,chaal
0.53,81,22,71,pack
0.96,72,79,82,show
0.68,99,52,59,show
0.54,77,39,90,pack
0.77,44,44,88,show
0.82,29,66,66,show
0.62,89,52,41,show
0.76,72,84,67,chaal
0.3,45,68,68,pack
0.1,56,57,63,pack
0.72,54,46,20,chaal
0.12,75,47,64,pack
0.4,26,77,86,pack
0.74,60,56,23,pack
0.12,94,65,72,chaal
0.5,77,63,79,chaal
0.45,94,93,68,show
0.23,61,61,94,chaal
0.7,40,100,86,pack
0.65,100,96,41,chaal
0.58,57,24,46,pack
0.85,44,64,57,chaal
0.57,60,52,66,chaal
0.48,29,93,26,pack
0.83,93,98,51,chaal
0.9,22,99,25,show
0.4,57,91,80,pack
0.44,53,44,98,chaal
0.6,45,35,26,show
0.2,81,78,89,chaal
0.21,27,20,31,chaal
0.71,45,10,91,pack
0.11,71,22,86,pack
0.07,71,23,24,pack
0.49,25,100,61,pack
0.58,42,40,24,show
0.98,91,89,35,show
0.73,42,59,54,chaal
0.48,75,67,67,pack
0.66,99,78,53,chaal
0.59,76,81,69,chaal
0.35,100,16,61,chaal
0.36,95,99,69,show
0.18,42,88,68,chaal
0.39,35,13,24,chaal
0.64,83,47,48,chaal
0.55,46,25,15,chaal
0.21,51,66,78,chaal
0.75,88,67,60,chaal
0.91,94,16,25,chaal
0.52,82,92,28,pack
0.71,24,77,70,chaal
0.12,74,92,57,pack
0.6,32,95,95,chaal
0.75,77,22,94,pack
0.06,30,46,88,pack
0.67,53,20,40,chaal
0.52,49,50,43,chaal
0.05,81,99,48,chaal
0.16,82,95,49,pack
0.12,57,14,51,pack
0.44,98,11,59,pack
0.36,23,61,75,pack
0.02,31,89,54,pack
0.45,35,61,69,pack
0.0,43,42,59,chaal
0.25,79,47,75,chaal
0.06,20,51,98,chaal
0.46,36,58,99,show
0.4,28,93,38,show
0.44,21,20,46,chaal
0.95,94,30,62,show
0.88,62,20,30,show
0.29,94,28,10,pack
0.24,56,73,43,pack
0.05,21,54,97,pack
0.39,39,63,59,pack
0.03,64,59,37,pack
0.96,52,43,99,chaal
0.62,53,69,25,show
0.05,96,64,94,pack
0.9,95,55,75,show
0.9,50,97,29,show
0.62,48,76,18,chaal
0.82,65,90,82,show
0.3,71,22,27,pack
0.91,24,98,68,chaal
0.42,27,74,62,pack
0.5,84,29,61,pack
0.53,58,77,22,show
0.95,71,76,94,show
0.61,85,86,88,pack
0.39,30,79,74,chaal
0.29,75,20,66,pack
0.92,61,90,56,show
0.3,62,72,16,chaal
0.81,64,90,47,show
0.94,28,95,67,chaal
0.11,88,17,23,chaal
0.64,39,79,12,pack
0.64,48,32,32,pack
0.32,56,22,77,chaal
0.06,73,82,21,pack
0.32,70,98,41,chaal
0.22,77,96,91,chaal
0.09,79,48,91,chaal
0.83,50,17,56,chaal
0.55,38,67,78,pack
0.18,31,32,11,pack
0.39,38,69,18,chaal
0.94,52,11,46,chaal
1.0,86,20,75,show
0.26,44,58,44,pack
0.63,20,62,44,pack
0.35,20,90,64,chaal
0.48,76,78,91,chaal
1.0,60,99,57,show
0.55,94,10,46,show
0.96,77,11,68,chaal
0.12,23,97,14,pack
0.76,42,48,30,show
0.15,94,49,89,pack
0.83,74,56,70,chaal
0.51,34,24,55,chaal
0.93,94,17,81,chaal
0.87,27,67,10,chaal
0.73,36,30,77,show
0.11,93,24,68,pack
0.68,48,50,41,chaal
0.35,23,16,20,chaal
0.13,44,49,86,chaal
0.19,26,13,96,pack
0.83,25,42,58,chaal
0.75,38,38,84,chaal
0.8,72,53,66,chaal
0.25,48,96,100,pack
0.2,72,92,66,pack
0.37,51,38,23,show
0.18,52,57,94,pack
0.93,69,89,94,show
0.57,26,76,36,pack
0.28,89,16,45,pack
0.97,27,92,79,show
0.37,89,24,65,show
0.6,83,57,47,show
0.08,66,28,51,chaal
0.01,55,64,70,pack
0.77,33,87,97,show
0.44,73,53,69,chaal
0.35,95,93,61,chaal
0.26,53,53,10,pack
0.89,97,67,22,chaal
0.62,86,58,88,chaal
0.69,55,29,70,pack
0.26,37,34,61,pack
0.31,21,76,19,chaal
0.62,20,12,58,show
0.87,93,55,10,chaal
0.62,81,47,58,pack
0.26,53,22,36,pack
0.09,97,56,46,chaal
0.9,37,39,100,chaal
0.75,77,42,97,pack
0.89,44,93,38,chaal
0.78,84,36,31,chaal
0.53,64,25,26,chaal
0.16,28,87,76,pack
0.23,81,46,10,pack
0.81,76,46,10,chaal
0.69,53,12,43,chaal
0.09,34,44,71,pack
0.99,24,94,80,chaal
0.78,96,73,65,show
0.87,27,38,28,show
0.12,82,79,88,chaal
0.07,22,97,54,pack
0.43,48,93,22,show
0.26,82,20,80,pack
0.27,62,32,89,chaal
0.13,98,63,44,pack
0.4,23,16,24,show
0.36,27,45,34,show
0.52,88,56,80,chaal
0.96,63,69,77,chaal
0.45,31,87,67,chaal
0.18,65,88,68,pack
0.91,62,15,64,show
0.45,41,64,72,chaal
0.4,97,90,43,show
0.98,41,13,89,chaal
0.62,65,91,11,pack
0.85,71,30,19,chaal
0.92,58,46,50,chaal
0.7,27,55,57,chaal
0.34,63,68,31,show
0.92,65,77,86,chaal
0.24,26,10,18,pack
0.32,83,83,79,chaal
0.95,55,14,39,chaal
0.43,65,93,25,show
0.94,48,14,98,chaal
0.6,68,69,24,chaal
0.72,43,32,91,chaal
0.72,51,87,11,chaal
0.69,92,54,86,chaal
0.63,66,88,68,chaal
0.77,79,75,98,chaal
0.42,89,61,88,chaal
0.02,59,62,93,pack
0.63,42,63,19,chaal
0.43,60,38,60,chaal
0.37,58,41,38,show
0.2,86,82,23,pack
0.96,94,89,42,show
0.29,40,54,93,pack
0.09,59,56,88,chaal
0.69,61,16,88,chaal
0.14,87,33,89,chaal
0.76,72,66,89,chaal
0.72,65,12,27,pack
0.67,96,59,68,chaal
0.5,59,92,18,pack
0.84,97,70,31,chaal
0.19,53,76,57,chaal
0.77,41,68,61,chaal
0.71,39,15,69,chaal
0.52,65,25,69,pack
0.54,62,98,80,pack
0.24,73,25,54,pack
0.84,88,98,93,show
0.76,89,91,78,show
0.78,75,11,75,chaal
0.55,94,76,57,show
0.07,52,38,23,pack
0.77,85,66,99,show
0.57,68,17,22,chaal
0.85,39,44,63,show
0.6,71,74,64,show
0.69,35,93,70,chaal
0.6,42,33,83,chaal
0.87,69,42,36,show
0.36,46,77,14,pack
0.81,91,63,74,chaal
0.59,79,46,45,chaal
0.24,98,33,11,pack
0.37,92,100,13,show
0.88,71,59,32,show
0.51,20,68,63,show
0.26,22,68,99,pack
0.36,31,93,29,chaal
0.11,66,97,13,chaal
0.37,81,72,12,chaal
0.5,55,58,43,chaal
0.36,47,32,20,chaal
0.01,34,62,41,pack
0.13,90,24,57,pack
0.7,27,20,71,show
0.07,74,12,20,pack
0.1,95,70,44,chaal
0.19,42,74,73,chaal
0.5,51,24,98,chaal
0.15,57,32,38,chaal
0.66,73,90,69,show
0.99,24,68,97,show
0.19,96,34,48,chaal
0.57,25,94,84,chaal
0.83,79,61,25,show
0.67,98,56,22,pack
0.59,80,47,43,pack
0.06,20,29,97,chaal
0.93,39,50,35,show
0.8,69,11,57,show
0.31,50,93,45,pack
0.53,66,25,55,pack
0.91,76,33,29,chaal
0.12,53,76,87,pack
0.81,98,82,18,chaal
0.6,92,56,23,pack
0.35,25,14,50,show
0.14,52,42,48,chaal
0.29,35,19,18,pack
0.68,99,99,63,pack
0.85,54,86,93,show
0.89,81,91,61,show
0.11,80,31,97,pack
0.16,100,92,20,pack
0.88,29,76,84,show
0.95,94,47,64,chaal
0.06,49,27,11,chaal
0.07,83,79,14,pack
0.04,78,98,16,pack
0.03,95,58,39,chaal
0.6,84,31,25,show
0.85,87,99,94,show
0.13,32,85,97,pack
0.34,77,41,22,chaal
0.56,53,26,91,chaal
0.56,58,36,28,chaal
0.55,25,62,41,show
0.67,20,75,90,chaal
0.71,95,98,42,pack
0.42,27,43,90,pack
0.96,21,67,21,show
0.45,42,74,50,chaal
0.19,31,33,11,chaal
0.86,29,88,60,chaal
0.57,57,87,96,show
0.4,67,12,36,pack
0.01,64,53,71,pack
0.74,21,93,31,chaal
0.48,55,41,76,pack
0.63,57,71,53,chaal
0.59,72,98,62,pack
0.67,30,47,99,pack
0.42,95,40,87,chaal
0.23,85,100,16,chaal
0.13,71,99,98,pack
0.24,86,80,13,pack
0.31,79,89,43,chaal
0.77,56,46,100,chaal
0.59,82,59,17,show
0.82,55,42,68,chaal
0.63,25,26,48,pack
0.88,87,51,19,chaal
0.12,44,96,21,pack
0.26,99,10,67,chaal
1.0,74,83,33,chaal
0.67,73,19,40,chaal
0.89,60,60,14,chaal
0.04,98,14,65,pack
0.11,65,92,29,pack
0.03,79,17,89,chaal
0.25,78,32,59,pack
0.22,91,100,25,pack
0.04,58,81,15,pack
0.33,99,30,74,pack
0.73,88,19,64,chaal
0.98,85,100,67,show
0.09,34,17,63,pack
0.64,54,10,43,chaal
0.78,58,100,49,show
0.33,28,24,26,pack
0.42,81,51,41,chaal
0.49,89,79,92,chaal
0.9,50,73,58,show
0.06,83,48,24,chaal
0.24,58,30,83,pack
0.27,59,93,24,pack
0.76,75,86,37,show
0.33,73,72,48,chaal
0.42,43,44,72,pack
0.02,44,71,64,pack
0.83,54,74,26,chaal
0.32,36,40,98,chaal
0.86,35,71,14,show
0.01,31,86,78,chaal
0.58,86,69,51,pack
0.89,83,77,78,show
0.32,48,42,73,pack
0.03,78,65,55,pack
0.91,24,55,10,chaal
0.43,29,63,66,chaal
0.94,33,45,77,chaal
0.85,99,80,59,chaal
0.63,20,85,36,show
0.27,20,66,47,pack
0.38,96,61,84,pack
0.05,46,31,68,pack
0.04,33,23,87,pack
0.95,42,42,87,chaal
0.79,60,85,44,show
0.13,87,88,95,chaal
0.56,94,89,97,show
0.72,46,82,94,pack
0.91,82,46,15,show
0.49,83,36,40,chaal
0.37,66,17,76,chaal
0.73,28,70,23,chaal
0.5,79,34,51,show
0.77,66,81,42,show
0.18,69,71,12,pack
0.63,54,47,50,chaal
0.87,24,72,50,chaal
0.37,35,69,100,pack
0.29,96,94,15,chaal
0.7,84,59,48,pack
0.57,34,32,66,chaal
0.13,36,60,60,pack
0.98,65,49,14,chaal
0.97,50,83,85,chaal
0.42,80,66,88,show
0.99,31,93,41,chaal
0.84,47,13,51,show
0.93,43,30,85,show
0.42,29,50,45,show
0.73,96,39,84,pack
0.11,88,60,83,chaal
0.4,93,62,47,chaal
0.78,82,70,44,chaal
0.9,24,89,99,show
0.26,40,94,10,pack
0.77,99,40,35,chaal
0.63,92,31,60,chaal
0.44,59,42,10,chaal
0.96,65,73,66,chaal
0.1,97,91,38,pack
0.46,82,51,64,chaal
0.82,81,14,40,chaal
0.49,51,75,17,pack
0.79,88,91,42,chaal
0.84,20,27,36,show
0.07,28,62,67,chaal
0.69,59,27,49,pack
0.26,96,73,82,pack
0.46,67,54,88,pack
0.95,38,14,28,chaal
0.49,80,74,46,chaal
0.77,89,32,40,show
0.11,59,51,17,chaal
0.46,39,85,46,chaal
0.69,84,73,22,chaal
0.9,62,18,92,show
0.3,56,74,35,chaal
0.16,85,56,88,chaal
0.26,73,15,10,chaal
0.12,24,25,76,chaal
0.25,84,89,33,pack
0.83,62,58,70,chaal
0.59,85,68,41,chaal
0.51,37,100,83,chaal
0.15,97,63,78,chaal
0.58,62,50,56,pack
0.24,38,100,79,pack
0.4,49,67,43,chaal
0.53,21,92,77,pack
0.67,44,89,66,pack
0.87,55,64,80,show
0.29,28,86,10,chaal
0.6,90,30,85,chaal
0.97,33,63,98,chaal
0.51,47,69,28,chaal
0.27,91,44,29,pack
0.58,34,95,38,chaal
0.39,54,24,74,show
0.7,83,68,66,chaal
0.51,34,93,73,chaal
0.46,20,45,22,show
0.5,47,11,18,pack
0.43,41,21,98,show
0.85,94,50,44,chaal
0.56,24,66,54,chaal
0.57,28,10,62,pack
0.07,53,56,11,pack
0.61,25,32,92,pack
0.45,87,17,90,chaal
0.75,35,60,69,chaal
0.51,98,46,96,show
0.49,56,62,33,chaal
0.31,59,35,53,chaal
0.01,39,84,19,pack
